Linea_id,Casa,Cantidad_asignada,Costo_asignado,Metodo,Confianza,Justificacion
1511,Casa 3,2.5,168.15,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1518,Casa 3,6.0,2925.66,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1524,Casa 3,1.0,31007.96,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1530,Casa 3,6.0,1385.82,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1533,Casa 3,4.0,325.68,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1534,Casa 3,6.0,403.56000000000006,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1544,Casa 3,1.0,4209.73,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1554,Casa 3,1.0,4209.73,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1578,Casa 3,5.0,407.1,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1605,Casa 3,1.0,224.78,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1606,Casa 3,1.0,112.39,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1610,Casa 3,1.0,819.47,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1612,Casa 3,1.0,1131.86,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1614,Casa 3,3.0,6177.87,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1640,Casa 3,1.0,1785.84,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1654,Casa 3,1.0,3267.26,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1666,Casa 3,4.0,923.88,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1752,Casa 3,10.0,637.2,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1753,Casa 3,10.25,898.0024999999999,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1753,Casa 4,1.75,153.3175,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1755,Casa 3,5.0,960.1999999999999,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1875,Casa 4,21.0,2731.89,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
1876,Casa 4,8.0,2010.64,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
1902,Casa 4,10.0,1424.8,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
1903,Casa 4,1.0,8105.31,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2001,Casa 4,1.0,1064.6,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2064,Casa 4,1.0,8482.3,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2072,Casa 4,1.0,1436.28,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2093,Casa 4,4.0,1624.76,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2096,Casa 4,1.0,5072.57,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2100,Casa 4,5.0,685.8499999999999,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2114,Casa 4,1.0,2230.09,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2125,Casa 4,1.0,7.96,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2138,Casa 4,2.0,224523.9,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2147,Casa 4,1.0,5072.57,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2186,Casa 4,2.0,41067.26,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
2237,Casa 4,5.0,685.8499999999999,Reconstrucción analítica,Media,Balance receta + etapa + fecha
2252,Casa 4,1.0,3303.54,Reconstrucción analítica,Media,Balance receta + etapa + fecha
2257,Casa 4,1.0,664.6,Reconstrucción analítica,Media,Balance receta + etapa + fecha
2259,Casa 4,1.0,248.67,Reconstrucción analítica,Media,Balance receta + etapa + fecha
2260,Casa 4,1.0,99.12,Reconstrucción analítica,Media,Balance receta + etapa + fecha
2316,Casa 1,1.0,117.7,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
2319,Casa 1,1.0,3049.56,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
19,Casa 3,1.0,1061.95,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
21,Casa 2,1.0,1061.95,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
22,Casa 3,1.0,1061.95,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
