Material_homologado,Familia,Cantidad_base,Costo_base,Estado
Aluminio A/C 3X1 1,Otros insumos,0.25,352.875,Reconstruido/observado
"Amarra 4"" Blanca",Otros insumos,0.25,202.875,Reconstruido/observado
"Amarra 4"" Negra",Otros insumos,0.25,202.875,Reconstruido/observado
"Amarra 6"" Negra",Otros insumos,0.25,485.62,Reconstruido/observado
Amplificador Anten,Otros insumos,0.25,1537.61,Reconstruido/observado
"Anc Cuna 3/8X3""",Otros insumos,0.75,917.9175,Reconstruido/observado
Ancla Pop Togg 3/4,Otros insumos,1.25,388.275,Reconstruido/observado
Angular metálico,Estructura metálica,31.0,9106.76,Reconstruido/observado
Anillo 3/16 12-10A,Otros insumos,0.25,186.0625,Reconstruido/observado
Anteojo Seguridad Normal Lente Transparente,Otros insumos,0.25,325.2225,Reconstruido/observado
Anticorrosivo,Pintura,1.25,10240.875,Reconstruido/observado
"Ar Presion 3 8"" 10",Otros insumos,0.25,68.585,Reconstruido/observado
Arena,Agregados,39.0,556558.6799999999,Reconstruido/observado
Arom Arbol Royal P,Otros insumos,0.25,291.5925,Reconstruido/observado
Audifonos Sport Tw,Otros insumos,0.25,1901.3275,Reconstruido/observado
Azulejo / revestimiento cerámico,Pisos y enchapes,1.25,13950.225,Reconstruido/observado
Base Magnetica Aju,Otros insumos,0.25,991.3725,Reconstruido/observado
Bateria Aa 8 Pieza,Otros insumos,0.5,1546.46,Reconstruido/observado
Bateria Aa Alcal 8,Otros insumos,0.75,1368.585,Reconstruido/observado
Bateria Aaa Alcal,Otros insumos,0.5,1086.285,Reconstruido/observado
Bateria Alkalina Aa 1.5V Lr6 6014 Kodak Blister 2Und,Otros insumos,0.25,176.99,Reconstruido/observado
Bateria Alkalina Aaa 1.5V Lr03 6023 Kodak Blister 8Und,Otros insumos,0.25,641.5925,Reconstruido/observado
Bateria Alkalina Cuadrada 9V A1604-1 Rayovac,Otros insumos,0.25,752.2125,Reconstruido/observado
Bateria Litio 2032,Otros insumos,0.25,327.2125,Reconstruido/observado
Bateria Plana 1620,Otros insumos,0.25,285.62,Reconstruido/observado
Bateria Plana 2016,Otros insumos,0.25,112.61,Reconstruido/observado
Bisagra,Puertas y cerraduras,12.666666666666666,8630.953333333333,Pendiente proyectado desde Casas 1–3
Block concreto 12x20x40,Mampostería,1710.0,626401.6000000001,Reconstruido/observado
Block concreto 15x20x40,Mampostería,840.0,383393.6,Reconstruido/observado
Block zacate 40x40x8,Exteriores,2.0,2918.0,Pendiente proyectado desde Casas 1–3
Bo 1Kg Mecha De Me,Otros insumos,0.25,923.4525,Reconstruido/observado
Bolsa Boxeo Inflab,Otros insumos,0.25,461.0625,Reconstruido/observado
Bolsa Plast Desecho,Otros insumos,0.25,326.3275,Reconstruido/observado
Bolsa Reforzada Estanon Negra 105X145Cm 1Kg,Otros insumos,0.25,475.2475,Reconstruido/observado
Bolsa Reutilizable 3,Otros insumos,0.25,33.185,Reconstruido/observado
Bolsa Usopesado 25,Otros insumos,0.5,1554.455,Reconstruido/observado
Bombillo Opaco Corriente 100W 125V P17556 Sylvania,Otros insumos,0.75,325.22249999999997,Reconstruido/observado
Bon Prem Oro Gris,Otros insumos,0.5,4320.355,Reconstruido/observado
Bondex / adhesivo cementicio 25 kg,Adhesivos cerámicos,0.75,5192.2575,Reconstruido/observado
Bondex Plus 25 kg,Adhesivos cerámicos,29.75,140129.40500000003,Reconstruido/observado
Botaguas,Cubierta y cerramientos,3.0,10380.539999999999,Reconstruido/observado
Brazo Mini 60N,Otros insumos,0.25,214.38,Reconstruido/observado
Brida / flange sanitario,Plomería sanitaria,0.5,1950.44,Reconstruido/observado
"Broc Concr 5 16X5""",Otros insumos,0.5,384.955,Reconstruido/observado
Bungee 121.92Cm Ni,Otros insumos,0.25,981.6375,Reconstruido/observado
"Bush Hg 3/4"" X 1/2",Otros insumos,1.25,283.1875,Reconstruido/observado
